Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
ICG,ICG PLC,Financials,Aktien,"5.175.709,25","0,06","5.175.709,25","221.959,00","23,32",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BYT1DJ19
TLX,TALANX AG,Financials,Aktien,"5.156.336,80","0,06","5.156.336,80","47.176,00","109,30",Deutschland,Xetra,EUR,DE000TLX1005
EXO,EXOR NV,Financials,Aktien,"5.132.859,60","0,06","5.132.859,60","71.588,00","71,70",Niederlande,Euronext Amsterdam,EUR,NL0012059018
G24,SCOUT24 N,Kommunikation,Aktien,"5.132.450,05","0,06","5.132.450,05","59.369,00","86,45",Deutschland,Xetra,EUR,DE000A12DM80
OMV,OMV AG,Energie,Aktien,"5.104.226,64","0,05","5.104.226,64","106.962,00","47,72",Österreich,Wiener Boerse Ag,EUR,AT0000743059
MICC,MAGNUM ICE CREAM COMPANY NPV,Nichtzyklische Konsumgüter,Aktien,"5.068.674,18","0,05","5.068.674,18","394.477,00","12,85",Niederlande,London Stock Exchange,GBP,NL0015002MS2
HOT,HOCHTIEF AG,Industrie,Aktien,"5.047.826,40","0,05","5.047.826,40","15.186,00","332,40",Deutschland,Xetra,EUR,DE0006070006
SECU B,SECURITAS B,Industrie,Aktien,"5.033.857,18","0,05","5.033.857,18","386.636,00","13,02",Schweden,Nasdaq Omx Nordic,SEK,SE0000163594
PHNX,PHOENIX GROUP HOLDINGS PLC,Financials,Aktien,"4.973.748,29","0,05","4.973.748,29","640.208,00","7,77",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BGXQNP29
ORNBV,ORION CLASS B,Gesundheitsversorgung,Aktien,"4.959.640,95","0,05","4.959.640,95","81.239,00","61,05",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009014377
SBRY,SAINSBURY(J) PLC,Nichtzyklische Konsumgüter,Aktien,"4.937.654,68","0,05","4.937.654,68","1.361.346,00","3,63",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B019KW72
GALP,GALP ENERGIA SGPS SA CLASS B,Energie,Aktien,"4.853.855,36","0,05","4.853.855,36","336.256,00","14,44",Portugal,Nyse Euronext - Euronext Lisbon,EUR,PTGAL0AM0009
KGF,KINGFISHER PLC,Zyklische Konsumgüter ,Aktien,"4.826.285,30","0,05","4.826.285,30","1.395.346,00","3,46",Vereinigtes Königreich,London Stock Exchange,GBP,GB0033195214
AKRBP,AKER BP,Energie,Aktien,"4.773.984,41","0,05","4.773.984,41","227.838,00","20,95",Norwegen,Oslo Bors Asa,NOK,NO0010345853
SRT3,SARTORIUS PREF AG,Gesundheitsversorgung,Aktien,"4.756.500,00","0,05","4.756.500,00","18.875,00","252,00",Deutschland,Xetra,EUR,DE0007165631
STERV,STORA ENSO CLASS R,Materialien,Aktien,"4.740.990,62","0,05","4.740.990,62","459.621,00","10,32",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009005961
GTT,GAZTRANSPORT & TECHNIGAZ SA,Energie,Aktien,"4.730.182,50","0,05","4.730.182,50","28.825,00","164,10",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0011726835
GBLB,GROUPE BRUXELLES LAMBERT NV,Financials,Aktien,"4.721.466,75","0,05","4.721.466,75","64.545,00","73,15",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003797140
KCR,KONECRANES,Industrie,Aktien,"4.668.254,80","0,05","4.668.254,80","52.072,00","89,65",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009005870
DIM,SARTORIUS STEDIM BIOTECH SA,Gesundheitsversorgung,Aktien,"4.578.832,00","0,05","4.578.832,00","21.856,00","209,50",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0013154002
NKT,NKT,Industrie,Aktien,"4.568.826,57","0,05","4.568.826,57","43.253,00","105,63",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010287663
TEN,TENARIS SA,Energie,Aktien,"4.565.669,20","0,05","4.565.669,20","264.830,00","17,24",Italien,Borsa Italiana,EUR,LU2598331598
SCA B,SVENSKA CELLULOSA B,Materialien,Aktien,"4.559.152,72","0,05","4.559.152,72","411.183,00","11,09",Schweden,Nasdaq Omx Nordic,SEK,SE0000112724
BNR,BRENNTAG,Industrie,Aktien,"4.551.485,91","0,05","4.551.485,91","95.439,00","47,69",Deutschland,Xetra,EUR,DE000A1DAHH0
KBX,KNORR BREMSE AG,Industrie,Aktien,"4.545.130,20","0,05","4.545.130,20","50.167,00","90,60",Deutschland,Xetra,EUR,DE000KBX1006
IG,ITALGAS,Versorger,Aktien,"4.538.361,25","0,05","4.538.361,25","490.899,00","9,24",Italien,Borsa Italiana,EUR,IT0005211237
AUTO,AUTO TRADER GROUP PLC,Kommunikation,Aktien,"4.538.622,25","0,05","4.538.622,25","662.002,00","6,86",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BVYVFW23
STB,STOREBRAND,Financials,Aktien,"4.537.245,66","0,05","4.537.245,66","324.482,00","13,98",Norwegen,Oslo Bors Asa,NOK,NO0003053605
BTRW,BARRATT REDROW PLC,Zyklische Konsumgüter ,Aktien,"4.530.144,18","0,05","4.530.144,18","1.093.731,00","4,14",Vereinigtes Königreich,London Stock Exchange,GBP,GB0000811801
ELISA,ELISA,Kommunikation,Aktien,"4.509.265,80","0,05","4.509.265,80","120.055,00","37,56",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009007884
TIT,TELECOM ITALIA,Kommunikation,Aktien,"4.493.624,88","0,05","4.493.624,88","9.238.538,00","0,49",Italien,Borsa Italiana,EUR,IT0003497168
NEM,NEMETSCHEK,IT,Aktien,"4.489.337,35","0,05","4.489.337,35","49.037,00","91,55",Deutschland,Xetra,EUR,DE0006452907
INDU C,INDUSTRIVARDEN SERIES,Financials,Aktien,"4.481.548,45","0,05","4.481.548,45","121.904,00","36,76",Schweden,Nasdaq Omx Nordic,SEK,SE0000107203
DCC,DCC PLC,Industrie,Aktien,"4.381.899,19","0,05","4.381.899,19","76.138,00","57,55",Vereinigtes Königreich,London Stock Exchange,GBP,IE0002424939
BEIJ B,BEIJER REF CLASS B,Industrie,Aktien,"4.374.513,49","0,05","4.374.513,49","315.022,00","13,89",Schweden,Nasdaq Omx Nordic,SEK,SE0015949748
INDT,INDUTRADE,Industrie,Aktien,"4.359.776,78","0,05","4.359.776,78","201.031,00","21,69",Schweden,Nasdaq Omx Nordic,SEK,SE0001515552
FRES,FRESNILLO PLC,Materialien,Aktien,"4.345.289,32","0,05","4.345.289,32","136.905,00","31,74",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B2QPKJ12
JMT,JERONIMO MARTINS SA,Nichtzyklische Konsumgüter,Aktien,"4.333.034,94","0,05","4.333.034,94","218.179,00","19,86",Portugal,Nyse Euronext - Euronext Lisbon,EUR,PTJMT0AE0001
ZAL,ZALANDO,Zyklische Konsumgüter ,Aktien,"4.285.851,08","0,05","4.285.851,08","184.417,00","23,24",Deutschland,Xetra,EUR,DE000ZAL1111
ALE,ALLEGRO SA,Zyklische Konsumgüter ,Aktien,"4.267.446,62","0,05","4.267.446,62","577.915,00","7,38",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,LU2237380790
LTMC,LOTTOMATICA GROUP,Zyklische Konsumgüter ,Aktien,"4.256.944,56","0,05","4.256.944,56","195.452,00","21,78",Italien,Borsa Italiana,EUR,IT0005541336
SQN,SWISSQUOTE GROUP HOLDING SA,Financials,Aktien,"4.229.212,69","0,05","4.229.212,69","8.292,00","510,03",Schweiz,SIX Swiss Exchange,CHF,CH0010675863
BEZ,BEAZLEY PLC,Financials,Aktien,"4.208.425,41","0,05","4.208.425,41","469.748,00","8,96",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BYQ0JC66
ABVX,ABIVAX SA,Gesundheitsversorgung,Aktien,"4.132.410,00","0,04","4.132.410,00","35.934,00","115,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0012333284
AVOL,AVOLTA AG,Zyklische Konsumgüter ,Aktien,"4.130.892,63","0,04","4.130.892,63","82.375,00","50,15",Schweiz,SIX Swiss Exchange,CHF,CH0023405456
YAR,YARA INTERNATIONAL,Materialien,Aktien,"4.121.642,68","0,04","4.121.642,68","126.885,00","32,48",Norwegen,Oslo Bors Asa,NOK,NO0010208051
SPX,SPIRAX GROUP PLC,Industrie,Aktien,"4.116.396,80","0,04","4.116.396,80","53.181,00","77,40",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BWFGQN14
HSX,HISCOX LTD,Financials,Aktien,"4.087.623,32","0,04","4.087.623,32","271.264,00","15,07",Vereinigtes Königreich,London Stock Exchange,GBP,BMG4593F1389
ENT,ENTAIN PLC,Zyklische Konsumgüter ,Aktien,"4.026.702,28","0,04","4.026.702,28","463.188,00","8,69",Vereinigtes Königreich,London Stock Exchange,GBP,IM00B5VQMV65
REC,RECORDATI INDUSTRIA CHIMICA E FARM,Gesundheitsversorgung,Aktien,"4.016.154,80","0,04","4.016.154,80","84.980,00","47,26",Italien,Borsa Italiana,EUR,IT0003828271
AM,DASSAULT AVIATION SA,Industrie,Aktien,"3.982.572,00","0,04","3.982.572,00","14.685,00","271,20",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0014004L86
IGG,IG GROUP HOLDINGS PLC,Financials,Aktien,"3.923.253,73","0,04","3.923.253,73","299.205,00","13,11",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B06QFB75
FHZN,FLUGHAFEN ZUERICH AG,Industrie,Aktien,"3.912.450,16","0,04","3.912.450,16","15.170,00","257,91",Schweiz,SIX Swiss Exchange,CHF,CH0319416936
KESKOB,KESKO CLASS B,Nichtzyklische Konsumgüter,Aktien,"3.910.792,50","0,04","3.910.792,50","214.290,00","18,25",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009000202
GALE,GALENICA AG,Gesundheitsversorgung,Aktien,"3.906.747,04","0,04","3.906.747,04","39.789,00","98,19",Schweiz,SIX Swiss Exchange,CHF,CH0360674466
LPP,LPP SA,Zyklische Konsumgüter ,Aktien,"3.888.131,74","0,04","3.888.131,74","977,00","3.979,67",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLLPP0000011
BIM,BIOMERIEUX SA,Gesundheitsversorgung,Aktien,"3.874.337,50","0,04","3.874.337,50","37.075,00","104,50",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0013280286
LAND,LAND SECURITIES GROUP REIT PLC,Immobilien,Aktien,"3.872.495,76","0,04","3.872.495,76","577.072,00","6,71",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BYW0PQ60
RILBA,RINGKJOBING LANDBOBANK,Financials,Aktien,"3.836.711,92","0,04","3.836.711,92","19.737,00","194,39",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060854669
HWDN,HOWDEN JOINERY GROUP PLC,Industrie,Aktien,"3.830.041,01","0,04","3.830.041,01","413.262,00","9,27",Vereinigtes Königreich,London Stock Exchange,GBP,GB0005576813
KGX,KION GROUP AG,Industrie,Aktien,"3.828.213,60","0,04","3.828.213,60","57.828,00","66,20",Deutschland,Xetra,EUR,DE000KGX8881
SYENS,SYENSQO NV,Materialien,Aktien,"3.818.923,68","0,04","3.818.923,68","55.637,00","68,64",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0974464977
BRBY,BURBERRY GROUP PLC,Zyklische Konsumgüter ,Aktien,"3.817.654,90","0,04","3.817.654,90","279.330,00","13,67",Vereinigtes Königreich,London Stock Exchange,GBP,GB0031743007
LHA,DEUTSCHE LUFTHANSA AG,Industrie,Aktien,"3.796.682,22","0,04","3.796.682,22","477.090,00","7,96",Deutschland,Xetra,EUR,DE0008232125
DHER,DELIVERY HERO,Zyklische Konsumgüter ,Aktien,"3.795.754,95","0,04","3.795.754,95","167.583,00","22,65",Deutschland,Xetra,EUR,DE000A2E4K43
P911,DR ING HC F PORSCHE PRF AG,Zyklische Konsumgüter ,Aktien,"3.791.700,00","0,04","3.791.700,00","82.500,00","45,96",Deutschland,Xetra,EUR,DE000PAG9113
ELI,ELIA GROUP SA,Versorger,Aktien,"3.790.342,10","0,04","3.790.342,10","37.417,00","101,30",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003822393
JDEP,JDE PEETS NV,Nichtzyklische Konsumgüter,Aktien,"3.783.795,84","0,04","3.783.795,84","119.438,00","31,68",Niederlande,Euronext Amsterdam,EUR,NL0014332678
GJF,GJENSIDIGE FORSIKRING,Financials,Aktien,"3.728.004,85","0,04","3.728.004,85","152.072,00","24,51",Norwegen,Oslo Bors Asa,NOK,NO0010582521
UHR,THE SWATCH GROUP AG,Zyklische Konsumgüter ,Aktien,"3.668.161,39","0,04","3.668.161,39","21.113,00","173,74",Schweiz,SIX Swiss Exchange,CHF,CH0012255151
PSN,PERSIMMON PLC,Zyklische Konsumgüter ,Aktien,"3.651.385,89","0,04","3.651.385,89","244.730,00","14,92",Vereinigtes Königreich,London Stock Exchange,GBP,GB0006825383
RMV,RIGHTMOVE PLC,Kommunikation,Aktien,"3.643.816,62","0,04","3.643.816,62","598.621,00","6,09",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BGDT3G23
R3NK,RENK GROUP AG,Industrie,Aktien,"3.626.248,34","0,04","3.626.248,34","64.766,00","55,99",Deutschland,Xetra,EUR,DE000RENK730
BBY,BALFOUR BEATTY PLC,Industrie,Aktien,"3.624.114,04","0,04","3.624.114,04","449.921,00","8,06",Vereinigtes Königreich,London Stock Exchange,GBP,GB0000961622
EVD,CTS EVENTIM AG,Kommunikation,Aktien,"3.607.718,40","0,04","3.607.718,40","45.552,00","79,20",Deutschland,Xetra,EUR,DE0005470306
ACKB,ACKERMANS & VAN HAAREN NV,Industrie,Aktien,"3.552.726,40","0,04","3.552.726,40","15.637,00","227,20",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003764785
NIBE B,NIBE INDUSTRIER CLASS B,Industrie,Aktien,"3.542.965,29","0,04","3.542.965,29","1.104.139,00","3,21",Schweden,Nasdaq Omx Nordic,SEK,SE0015988019
WTB,WHITBREAD PLC,Zyklische Konsumgüter ,Aktien,"3.532.003,52","0,04","3.532.003,52","132.203,00","26,72",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B1KJJ408
JYSK,JYSKE BANK,Financials,Aktien,"3.517.567,63","0,04","3.517.567,63","32.278,00","108,98",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010307958
NEX,NEXANS SA,Industrie,Aktien,"3.495.532,10","0,04","3.495.532,10","27.373,00","127,70",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000044448
MRL,MERLIN PROPERTIES REIT SA,Immobilien,Aktien,"3.490.909,80","0,04","3.490.909,80","286.610,00","12,18",Spanien,Bolsa De Madrid,EUR,ES0105025003
IPN,IPSEN SA,Gesundheitsversorgung,Aktien,"3.489.237,00","0,04","3.489.237,00","28.718,00","121,50",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010259150
DNP,DINO POLSKA SA,Nichtzyklische Konsumgüter,Aktien,"3.474.571,05","0,04","3.474.571,05","364.742,00","9,53",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLDINPL00011
RBI,RAIFFEISEN BANK INTERNATIONAL AG,Financials,Aktien,"3.472.165,48","0,04","3.472.165,48","94.661,00","36,68",Österreich,Wiener Boerse Ag,EUR,AT0000606306
GET,GETLINK,Industrie,Aktien,"3.449.231,49","0,04","3.449.231,49","227.973,00","15,13",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010533075
BLND,BRITISH LAND REIT PLC,Immobilien,Aktien,"3.439.230,56","0,04","3.439.230,56","788.525,00","4,36",Vereinigtes Königreich,London Stock Exchange,GBP,GB0001367019
EDEN,EDENRED,Financials,Aktien,"3.426.430,11","0,04","3.426.430,11","189.201,00","18,11",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010908533
LEG,LEG IMMOBILIEN N,Immobilien,Aktien,"3.417.370,50","0,04","3.417.370,50","55.567,00","61,50",Deutschland,Xetra,EUR,DE000LEG1110
AAK,AAK,Nichtzyklische Konsumgüter,Aktien,"3.416.511,87","0,04","3.416.511,87","142.182,00","24,03",Schweden,Nasdaq Omx Nordic,SEK,SE0011337708
ISS,ISS A S,Industrie,Aktien,"3.412.351,30","0,04","3.412.351,30","124.455,00","27,42",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060542181
TUB,FINANCIERE DE TUBIZE SA,Gesundheitsversorgung,Aktien,"3.407.616,00","0,04","3.407.616,00","15.776,00","216,00",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003823409
BARN,BARRY CALLEBAUT AG,Nichtzyklische Konsumgüter,Aktien,"3.399.407,73","0,04","3.399.407,73","2.692,00","1.262,77",Schweiz,SIX Swiss Exchange,CHF,CH0009002962
SPL,SANTANDER BANK POLSKA SA,Financials,Aktien,"3.384.581,17","0,04","3.384.581,17","28.745,00","117,75",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLBZ00000044
RED,REDEIA CORPORACION SA,Versorger,Aktien,"3.328.940,79","0,04","3.328.940,79","223.269,00","14,91",Spanien,Bolsa De Madrid,EUR,ES0173093024
VOE,VOESTALPINE AG,Materialien,Aktien,"3.322.982,40","0,04","3.322.982,40","86.536,00","38,40",Österreich,Wiener Boerse Ag,EUR,AT0000937503
BZU,BUZZI,Materialien,Aktien,"3.321.115,20","0,04","3.321.115,20","65.312,00","50,85",Italien,Borsa Italiana,EUR,IT0001347308
ANA,ACCIONA SA,Versorger,Aktien,"3.320.304,00","0,04","3.320.304,00","18.780,00","176,80",Spanien,Bolsa De Madrid,EUR,ES0125220311
TKA,THYSSENKRUPP AG,Materialien,Aktien,"3.316.521,63","0,04","3.316.521,63","371.391,00","8,93",Deutschland,Xetra,EUR,DE0007500001
IMCD,IMCD NV,Industrie,Aktien,"3.315.612,60","0,04","3.315.612,60","44.927,00","73,80",Niederlande,Euronext Amsterdam,EUR,NL0010801007
CTEC,CONVATEC GROUP PLC,Gesundheitsversorgung,Aktien,"3.296.341,39","0,04","3.296.341,39","1.274.767,00","2,59",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BD3VFW73
TEMN,TEMENOS AG,IT,Aktien,"3.286.224,41","0,04","3.286.224,41","40.619,00","80,90",Schweiz,SIX Swiss Exchange,CHF,CH0012453913
ZEAL,ZEALAND PHARMA,Gesundheitsversorgung,Aktien,"3.286.569,60","0,04","3.286.569,60","47.947,00","68,55",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060257814
SAVE,NORDNET,Financials,Aktien,"3.276.423,14","0,04","3.276.423,14","135.520,00","24,18",Schweden,Nasdaq Omx Nordic,SEK,SE0015192067
IDR,INDRA SISTEMAS SA,IT,Aktien,"3.273.778,48","0,04","3.273.778,48","66.244,00","49,42",Spanien,Bolsa De Madrid,EUR,ES0118594417
HAG,HENSOLDT AG,Industrie,Aktien,"3.264.457,50","0,04","3.264.457,50","45.027,00","72,50",Deutschland,Xetra,EUR,DE000HAG0005
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,Zyklische Konsumgüter ,Aktien,"3.257.333,60","0,04","3.257.333,60","77.026,00","42,29",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BP0RGD03
AZA,AVANZA BANK HOLDING,Financials,Aktien,"3.228.057,65","0,03","3.228.057,65","99.854,00","32,33",Schweden,Nasdaq Omx Nordic,SEK,SE0012454072
TE,TECHNIP ENERGIES NV,Energie,Aktien,"3.224.572,24","0,03","3.224.572,24","100.894,00","31,96",Frankreich,Nyse Euronext - Euronext Paris,EUR,NL0014559478
SCR,SCOR,Financials,Aktien,"3.212.966,34","0,03","3.212.966,34","119.619,00","26,86",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010411983
SDR,SCHRODERS PLC,Financials,Aktien,"3.205.233,73","0,03","3.205.233,73","724.611,00","4,42",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BP9LHF23
AMUN,AMUNDI SA,Financials,Aktien,"3.185.371,20","0,03","3.185.371,20","47.472,00","67,10",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0004125920
GETI B,GETINGE B,Gesundheitsversorgung,Aktien,"3.176.263,00","0,03","3.176.263,00","166.814,00","19,04",Schweden,Nasdaq Omx Nordic,SEK,SE0000202624
SUBC,SUBSEA SA,Energie,Aktien,"3.174.618,51","0,03","3.174.618,51","190.211,00","16,69",Norwegen,Oslo Bors Asa,NOK,LU0075646355
CAST,CASTELLUM,Immobilien,Aktien,"3.175.241,81","0,03","3.175.241,81","330.480,00","9,61",Schweden,Nasdaq Omx Nordic,SEK,SE0000379190
VER,VERBUND AG,Versorger,Aktien,"3.171.318,30","0,03","3.171.318,30","51.399,00","61,70",Österreich,Wiener Boerse Ag,EUR,AT0000746409
ALSYDB,AL SYDBANK,Financials,Aktien,"3.168.998,82","0,03","3.168.998,82","41.895,00","75,64",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010311471
SSAB B,SSAB CLASS B,Materialien,Aktien,"3.166.896,97","0,03","3.166.896,97","489.113,00","6,47",Schweden,Nasdaq Omx Nordic,SEK,SE0000120669
GF,GEORG FISCHER AG,Industrie,Aktien,"3.164.207,51","0,03","3.164.207,51","56.266,00","56,24",Schweiz,SIX Swiss Exchange,CHF,CH1169151003
SOF,SOFINA SA,Financials,Aktien,"3.134.966,40","0,03","3.134.966,40","13.128,00","238,80",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003717312
BALD B,FASTIGHETS BALDER CLASS B,Immobilien,Aktien,"3.131.803,95","0,03","3.131.803,95","518.232,00","6,04",Schweden,Nasdaq Omx Nordic,SEK,SE0017832488
VEND,VEND MARKETPLACES ASA,Kommunikation,Aktien,"3.121.666,42","0,03","3.121.666,42","130.306,00","23,96",Norwegen,Oslo Bors Asa,NOK,NO0010736879
BMED,BANCA MEDIOLANUM,Financials,Aktien,"3.115.184,10","0,03","3.115.184,10","167.034,00","18,65",Italien,Borsa Italiana,EUR,IT0004776628
SAGA B,SAGAX CLASS B,Immobilien,Aktien,"3.093.372,51","0,03","3.093.372,51","169.950,00","18,20",Schweden,Nasdaq Omx Nordic,SEK,SE0005127818
TW.,TAYLOR WIMPEY PLC,Zyklische Konsumgüter ,Aktien,"3.093.398,21","0,03","3.093.398,21","2.713.371,00","1,14",Vereinigtes Königreich,London Stock Exchange,GBP,GB0008782301
ELIS,ELIS SA,Industrie,Aktien,"3.085.636,14","0,03","3.085.636,14","132.887,00","23,22",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0012435121
LMP,LONDONMETRIC PROPERTY REIT PLC,Immobilien,Aktien,"3.066.015,49","0,03","3.066.015,49","1.480.481,00","2,07",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B4WFW713
WDP,WAREHOUSES DE PAUW NV,Immobilien,Aktien,"3.061.124,28","0,03","3.061.124,28","147.453,00","20,76",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0974349814
ANDR,ANDRITZ AG,Industrie,Aktien,"3.048.123,60","0,03","3.048.123,60","48.537,00","62,80",Österreich,Wiener Boerse Ag,EUR,AT0000730007
ABDN,ABERDEEN GROUP PLC,Financials,Aktien,"3.048.540,31","0,03","3.048.540,31","1.360.775,00","2,24",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BF8Q6K64
VALMT,VALMET,Industrie,Aktien,"3.040.677,36","0,03","3.040.677,36","114.916,00","26,46",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI4000074984
EMSN,EMS-CHEMIE HOLDING AG,Materialien,Aktien,"3.009.983,05","0,03","3.009.983,05","5.228,00","575,74",Schweiz,SIX Swiss Exchange,CHF,CH0016440353
ALK B,ALK-ABELLO CLASS B,Gesundheitsversorgung,Aktien,"3.000.054,12","0,03","3.000.054,12","99.506,00","30,15",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0061802139
IP,INTERPUMP GROUP,Industrie,Aktien,"2.972.352,80","0,03","2.972.352,80","67.096,00","44,30",Italien,Borsa Italiana,EUR,IT0001078911
CRDA,CRODA INTERNATIONAL PLC,Materialien,Aktien,"2.963.604,36","0,03","2.963.604,36","97.338,00","30,45",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BJFFLV09
SALM,SALMAR,Nichtzyklische Konsumgüter,Aktien,"2.947.334,41","0,03","2.947.334,41","57.400,00","51,35",Norwegen,Oslo Bors Asa,NOK,NO0010310956
JMAT,JOHNSON MATTHEY PLC,Materialien,Aktien,"2.941.573,80","0,03","2.941.573,80","128.161,00","22,95",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BZ4BQC70
CDR,CD PROJEKT SA,Kommunikation,Aktien,"2.927.795,86","0,03","2.927.795,86","50.410,00","58,08",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLOPTTC00011
SECT B,SECTRA CLASS B,Gesundheitsversorgung,Aktien,"2.919.880,33","0,03","2.919.880,33","116.165,00","25,14",Schweden,Nasdaq Omx Nordic,SEK,SE0022419784
AZM,AZIMUT HOLDING,Financials,Aktien,"2.912.936,12","0,03","2.912.936,12","81.572,00","35,71",Italien,Borsa Italiana,EUR,IT0003261697
WPP,WPP PLC,Kommunikation,Aktien,"2.903.510,59","0,03","2.903.510,59","797.750,00","3,64",Vereinigtes Königreich,London Stock Exchange,GBP,JE00B8KF9B49
A2A,A2A,Versorger,Aktien,"2.883.561,62","0,03","2.883.561,62","1.268.057,00","2,27",Italien,Borsa Italiana,EUR,IT0001233417
MNDI,MONDI PLC,Materialien,Aktien,"2.876.793,05","0,03","2.876.793,05","290.401,00","9,91",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BMWC6P49
SW,SODEXO SA,Zyklische Konsumgüter ,Aktien,"2.874.057,12","0,03","2.874.057,12","64.383,00","44,64",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121220
BGEO,LION FINANCE GROUP PLC,Financials,Aktien,"2.860.911,36","0,03","2.860.911,36","26.771,00","106,87",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BF4HYT85
ADEN,ADECCO GROUP AG,Industrie,Aktien,"2.846.657,37","0,03","2.846.657,37","126.428,00","22,52",Schweiz,SIX Swiss Exchange,CHF,CH0012138605
MAP,MAPFRE SA,Financials,Aktien,"2.837.460,47","0,03","2.837.460,47","701.647,00","4,04",Spanien,Bolsa De Madrid,EUR,ES0124244E34
SB1NO,SPAREBANK SR-NORGE,Financials,Aktien,"2.837.000,97","0,03","2.837.000,97","181.088,00","15,67",Norwegen,Oslo Bors Asa,NOK,NO0010631567
GFC,GECINA SA,Immobilien,Aktien,"2.829.944,40","0,03","2.829.944,40","35.913,00","78,80",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010040865
BC8,BECHTLE AG,IT,Aktien,"2.820.648,46","0,03","2.820.648,46","65.627,00","42,98",Deutschland,Xetra,EUR,DE0005158703
BKW,BKW N AG,Versorger,Aktien,"2.814.316,88","0,03","2.814.316,88","15.871,00","177,32",Schweiz,SIX Swiss Exchange,CHF,CH0130293662
EDPR,EDP RENOVAVEIS SA,Versorger,Aktien,"2.807.259,98","0,03","2.807.259,98","240.142,00","11,69",Portugal,Nyse Euronext - Euronext Lisbon,EUR,ES0127797019
LUND B,LUNDBERGFORETAGEN CLASS B,Financials,Aktien,"2.780.618,03","0,03","2.780.618,03","60.971,00","45,61",Schweden,Nasdaq Omx Nordic,SEK,SE0000108847
CVC,CVC CAPITAL PARTNERS PLC,Financials,Aktien,"2.774.809,71","0,03","2.774.809,71","200.637,00","13,83",Niederlande,Euronext Amsterdam,EUR,JE00BRX98089
